wl	n
0.607231	3.930356
0.608824	3.942498
0.610418	3.954628
0.612012	3.966747
0.613605	3.978856
0.615199	3.990954
0.616792	4.003042
0.618385	4.015120
0.619979	4.027188
0.621572	4.039246
0.623165	4.051294
0.624758	4.063334
0.626351	4.075364
0.627944	4.087386
0.629537	4.099398
0.631130	4.111402
0.632723	4.123399
0.634316	4.135387
0.635908	4.147367
0.637501	4.159340
0.639093	4.171304
0.640686	4.183262
0.642278	4.195212
0.643871	4.207156
0.645463	4.219093
0.647055	4.231023
0.648648	4.242946
0.650240	4.254864
0.651832	4.266775
0.653424	4.278681
0.655016	4.290580
0.656608	4.302474
0.658199	4.314363
0.659791	4.326246
0.661383	4.338124
0.662974	4.349998
0.664566	4.361866
0.666157	4.373730
0.667748	4.385589
0.669340	4.397444
0.670931	4.409294
0.672522	4.421141
0.674113	4.432983
0.675704	4.444822
0.677295	4.456656
0.678886	4.468487
0.680477	4.480313
0.682067	4.492136
0.683658	4.503955
0.685248	4.515770
0.686839	4.527582
0.688429	4.539390
0.690020	4.551195
0.691610	4.562996
0.693200	4.574794
0.694790	4.586588
0.696380	4.598379
0.697970	4.610166
0.699560	4.621951
0.701149	4.633732
0.702739	4.645509
0.704328	4.657284
0.705918	4.669056
0.707507	4.680824
0.709096	4.692590
0.710686	4.704353
0.712275	4.716113
0.713864	4.727869
0.715453	4.739623
0.717042	4.751375
0.718630	4.763123
0.720219	4.774869
0.721807	4.786612
0.723396	4.798352
0.724984	4.810090
0.726573	4.821826
0.728161	4.833559
0.729749	4.845289
0.731337	4.857017
0.732925	4.868742
0.734513	4.880465
0.736100	4.892186
0.737688	4.903904
0.739276	4.915621
0.740863	4.927335
0.742450	4.939046
0.744038	4.950756
0.745625	4.962463
0.747212	4.974169
0.748799	4.985872
0.750385	4.997573
0.751972	5.009272
0.753559	5.020970
0.755145	5.032665
0.756732	5.044359
0.758318	5.056050
0.759904	5.067740
0.761490	5.079428
0.763076	5.091114
0.764662	5.102799
0.766248	5.114481
0.767834	5.126162
0.769419	5.137841
0.771005	5.149519
0.772590	5.161195
0.774175	5.172870
0.775760	5.184543
0.777345	5.196214
0.778930	5.207884
0.780515	5.219552
0.782100	5.231219
0.783684	5.242884
0.785269	5.254549
0.786853	5.266211
0.788437	5.277873
