wl	n
1.705083	5.033
1.706738	5.033
1.708394	5.032
1.710050	5.031
1.711706	5.030
1.713362	5.029
1.715018	5.028
1.716673	5.027
1.718329	5.026
1.719985	5.025
1.721641	5.024
1.723297	5.023
1.724952	5.022
1.726608	5.021
1.728264	5.020
1.729920	5.019
1.731576	5.018
1.733232	5.017
1.734887	5.015
1.736543	5.014
1.738199	5.013
1.739855	5.012
1.741511	5.010
1.743167	5.009
1.744822	5.008
1.746478	5.006
1.748134	5.005
1.749790	5.004
1.751446	5.002
1.753102	5.001
1.754757	4.999
1.756413	4.998
1.758069	4.996
1.759725	4.995
1.761381	4.993
1.763037	4.992
1.764692	4.990
1.766348	4.988
1.768004	4.987
1.769660	4.985
1.771316	4.983
1.772971	4.982
1.774627	4.980
1.776283	4.978
1.777939	4.977
1.779595	4.975
1.781251	4.973
1.782906	4.971
1.784562	4.969
1.786218	4.968
1.787874	4.966
1.789530	4.964
1.791186	4.962
1.792841	4.960
1.794497	4.958
1.796153	4.956
1.797809	4.954
1.799465	4.952
1.801121	4.950
1.802776	4.948
1.804432	4.946
1.806088	4.944
1.807744	4.942
1.809400	4.940
1.811056	4.937
1.812711	4.935
1.814367	4.933
1.816023	4.931
1.817679	4.929
1.819335	4.926
1.820990	4.924
1.822646	4.922
1.824302	4.920
1.825958	4.917
1.827614	4.915
1.829270	4.913
1.830925	4.910
1.832581	4.908
1.834237	4.906
1.835893	4.903
1.837549	4.901
1.839205	4.898
1.840860	4.896
1.842516	4.893
1.844172	4.891
1.845828	4.888
1.847484	4.886
1.849140	4.883
1.850795	4.881
1.852451	4.878
1.854107	4.876
1.855763	4.873
1.857419	4.870
1.859075	4.868
1.860730	4.865
1.862386	4.862
1.864042	4.860
1.865698	4.857
1.867354	4.854
1.869010	4.852
1.870665	4.849
1.872321	4.846
1.873977	4.843
1.875633	4.840
1.877289	4.838
1.878944	4.835
1.880600	4.832
1.882256	4.829
1.883912	4.826
1.885568	4.823
1.887224	4.821
1.888879	4.818
1.890535	4.815
1.892191	4.812
1.893847	4.809
1.895503	4.806
1.897159	4.803
1.898814	4.800
1.900470	4.797
1.902126	4.794
1.903782	4.791
1.905438	4.788
1.907094	4.785
1.908749	4.782
1.910405	4.779
1.912061	4.776
1.913717	4.773
1.915373	4.769
1.917029	4.766
1.918684	4.763
1.920340	4.760
1.921996	4.757
1.923652	4.754
1.925308	4.750
1.926963	4.747
1.928619	4.744
1.930275	4.741
1.931931	4.738
1.933587	4.734
1.935243	4.731
1.936898	4.728
1.938554	4.725
1.940210	4.721
1.941866	4.718
1.943522	4.715
1.945178	4.711
1.946833	4.708
1.948489	4.705
1.950145	4.701
1.951801	4.698
1.953457	4.695
1.955113	4.691
1.956768	4.688
1.958424	4.684
1.960080	4.681
1.961736	4.678
1.963392	4.674
1.965048	4.671
1.966703	4.667
1.968359	4.664
1.970015	4.660
1.971671	4.657
1.973327	4.653
1.974982	4.650
1.976638	4.646
